artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Sleeping At Last,Saturn,Saturn,3HTzd1eZ4WGNUVkV9g4HH2,0.155,0.206,10,-12.348,1,0.0364,0.00765,0.135,0.17,171.346,317067,5
Dermot Kennedy,Without Fear,What Have I Done,0hpaWop2LUln6yJ7b0eOza,0.625,0.581,9,-5.466,1,0.0358,3.57e-06,0.117,0.317,121.946,217082,3
Birdy,Island Lights,Island Lights,6nbr8zc1SaBkkncBNcMDos,0.499,0.119,7,-10.05,1,0.0439,1.07e-06,0.0776,0.371,91.8,271412,3
SYML,I Wanted to Leave,I Wanted to Leave,77AixrPcd03tR4tWMHuxro,0.485,0.0626,8,-19.536,1,0.0375,0.9,0.111,0.276,170.264,203912,3
Tom Odell,Long Way Down (Deluxe),Another Love,3JvKfv6T31zO0ini8iNItO,0.445,0.537,4,-8.532,0,0.04,1.6e-05,0.0944,0.131,122.764,244360,4
James Blunt,Once Upon a Mind,Youngster,2uJ3W4QXRqfIgKpCDNtJse,0.711,0.646,11,-5.43,1,0.038,0.0,0.0874,0.763,90.018,199843,4
Gavin James,City of Stars,City of Stars,0KQnOjW6AP1LECHd18xjFj,0.531,0.116,6,-11.157,1,0.0548,0.0,0.0981,0.176,117.469,154859,3
Daniel Docherty,I Don't Want To Grow Up,I Don't Want To Grow Up,2Re8Vti7Axo8wUpD6TPYxc,0.665,0.397,5,-10.905,1,0.0248,1.09e-06,0.11,0.401,102.426,214762,4
Kodaline,Politics of Living,Follow Your Fire,5ESJINHtOXLh3KSsazEfRf,0.449,0.602,11,-6.689,0,0.0724,0.0,0.179,0.432,175.974,238573,4
James Bay,Wild Love (Acoustic),Wild Love - Acoustic,4zDQS1OCghoOKkjw6hf2qT,0.519,0.407,11,-7.682,0,0.0384,0.0,0.101,0.515,139.954,189147,4
OneRepublic,Didn't I,Didn't I,6ikDZX0oc8EKGj2vdMAEDv,0.606,0.613,4,-6.758,1,0.0306,0.0,0.125,0.258,123.943,207617,4
Bastille,Another Place,Another Place,2Fn4gZI3MAeWTiv7cSVxZQ,0.685,0.742,8,-5.409,1,0.0471,0.0,0.185,0.618,115.008,213511,4
James Blunt,Once Upon a Mind,How It Feels to Be Alive,4MvfdBB00we6KforJ9KaH4,0.599,0.447,11,-8.409,0,0.0373,1.38e-06,0.111,0.305,117.077,205132,4
Bastille,Doom Days,Quarter Past Midnight,0Tl408cie1ksydV7s6KuWD,0.54,0.779,8,-5.753,1,0.0889,0.0,0.196,0.498,77.497,199214,4
NEIKED,Best Of Hard Drive,Old School Love,5Edva5pQylwpWB78BBxoLZ,0.712,0.424,10,-8.388,1,0.0312,7.54e-06,0.108,0.827,127.99,184427,4
James TW,Please Keep Loving Me,Please Keep Loving Me,78zUxUPvONPgMIt46q5be6,0.537,0.469,5,-8.486,1,0.0764,1.78e-06,0.106,0.294,175.971,195920,4
Noah Kahan,Busyhead,Sink,3lTxG17fsMrjrNkTNJ9NaZ,0.565,0.471,3,-9.046,1,0.0306,6.39e-05,0.11,0.355,165.055,225893,4
Kodaline,Coming Up for Air (Expanded Edition),The One,0My8NPmENHrN5W7OfgZnZJ,0.43,0.587,9,-8.003,1,0.0348,8.83e-05,0.158,0.332,156.006,232520,4
Birdy,Let It All Go,Let It All Go,70K0ezmzYEZeqoSaZMyP7o,0.383,0.43,10,-8.644,1,0.0302,1.04e-06,0.0869,0.174,107.005,280757,4
JP Cooper,Sing It With Me (Acoustics),Sing It With Me,6JA7luAMEbqSI2VZe5mLHg,0.54,0.793,5,-4.379,1,0.0493,0.0,0.354,0.399,112.219,201199,4
Greyson Chance,Good As Gold,Good As Gold,1Y3aTXHZRVSW2lJPpI0PPX,0.52,0.64,2,-5.341,1,0.0347,0.0,0.102,0.239,84.964,205747,4
Dermot Kennedy,Giants,Giants,0l4AReW2LuX0yStPfgQgSR,0.579,0.839,8,-5.409,0,0.0703,3.04e-05,0.201,0.589,158.141,177173,4
Various Artists,MOOMINVALLEY (Official Soundtrack),Ready Now,1xzIv4LPe57Lgz3ELDOdBE,0.69,0.051,7,-20.444,1,0.0421,0.205,0.126,0.318,110.099,181969,3
Julia Church,Shiloh,Shiloh,6S2YNUnLEUUT4LejZE6WMM,0.349,0.153,1,-15.867,0,0.0282,0.0,0.193,0.19,93.937,197852,5
Tom Odell,True Colours,True Colours,1rGxG6Y5OgmSwGPRPJv9Q4,0.518,0.126,10,-12.102,1,0.0431,0.0,0.105,0.166,75.991,143707,4
Maisie Peters,Best I'll Ever Sing,Best I'll Ever Sing,37a0RMpwwQjgIkLoEePwXa,0.34,0.288,4,-7.937,1,0.0321,0.0,0.134,0.322,89.033,199142,4
Dagny,Used To You,Used To You,7t3Ldw0z7zS0WyzlV7aJGV,0.618,0.8,8,-5.76,1,0.212,0.0,0.104,0.694,83.939,192827,4
James Bay,Oh My Messy Mind,Bad,3xRcQ04b0l5RiU2w7lJhCD,0.549,0.413,4,-5.587,1,0.0362,0.0,0.0939,0.29,139.981,225920,4
Haux,Violence in a Quiet Mind,Eight,4LMJ7ggWjgaFLn4gERMtsS,0.517,0.254,1,-13.4,1,0.0366,0.00343,0.184,0.294,114.036,169733,3
Dermot Kennedy,Doves & Ravens,A closeness,0xVrusjXiWhqSQ5dPoiiWX,0.526,0.458,5,-9.472,1,0.0384,0.000335,0.109,0.501,76.972,251173,4
Beth Porch,You Taught Me What Love Is (Britain's Got Talent Live Recording),You Taught Me What Love Is - Britain's Got Talent Live Recording,5T3EeI1W5c7IHXIDVx33wY,0.51,0.254,7,-7.042,1,0.0364,0.0,0.78,0.373,115.034,208053,4
Kodaline,In A Perfect World (Collection),Love Like This - Acoustic,5Wjf9NsW6QCmBiDIdVvMbP,0.398,0.151,4,-14.402,1,0.0342,0.0443,0.0923,0.0749,107.068,241640,4
James Blunt,Once Upon a Mind,Cold,6yTH1CRCHlZI1yeU7fgn67,0.593,0.828,3,-6.472,1,0.036,0.0,0.139,0.398,109.061,208073,4
Birdy,Fire Within,Wings,0yzr0zrYvv5oyNoCMBFMAa,0.474,0.707,7,-4.534,1,0.0253,0.0,0.162,0.224,83.235,252107,4
Passenger,Young as the Morning Old as the Sea (Deluxe Version),Beautiful Birds (feat. Birdy),6nd9ZMftN6tfm2YAoUvK7f,0.32,0.183,2,-11.91,1,0.0296,0.00252,0.116,0.147,85.869,213707,4
